,,,,Ultima actualizare - 09.03.2015,,,,,,,,,
,,,,,,,,,,,,,
LineID,LineName,StationID,RawStationName,FriendlyStationName,ShortStationName,JunctionName,Lat,Long,Invalid,Verified,Verification Date,Goodle Maps Link,Info comments
1207,3,2922,Canton C.F.R_1,Canton CFR / Strada Ardealului (Gara),Canton CFR,,45.731199,21.180902,,dup script,03.04.13,"http://maps.google.com/maps?q=Canton%20CFR%20/%20Strada%20Ardealului@45.731199,21.180902",
1207,3,6041,Pacii_,Strada Pacii (Gara),Pacii,,45.732988,21.183078,,dup script,03.04.13,"http://maps.google.com/maps?q=Strada%20Pacii@45.732988,21.183078",
1207,3,2921,Opre Gogu_1,Strada Ardealului / Strada Martir Opre Gogu (Gara),Opre Gogu,,45.736397,21.188502,,dup script,03.04.13,"http://maps.google.com/maps?q=Strada%20Ardealului%20/%20Strada%20Martir%20Opre%20Gogu@45.736397,21.188502",
1207,3,3602,Dambovita_3,B-dul Dambovita / Dep. Tramvaie (Gara),Dambovita,Dambovita,45.73954,21.195856,,dup script,03.04.13,"http://maps.google.com/maps?q=B-dul%20Dambovita%20/%20Dep.%20Tramvaie@45.73954,21.195856",
1207,3,2821,Dambovita 2a,B-dul Dambovita / Strada Banatul / Dep. Troleibuze (Gara),Dep. Troleibuze,Dep. de troleibuze,45.737043,21.198447,,dup script,03.04.13,"http://maps.google.com/maps?q=B-dul%20Dambovita%20/%20Strada%20Banatul%20/%20Dep.%20Troleibuze@45.737043,21.198447",
1207,3,2822,Transilvaniei,Strada Prahova / Lidl (Gara),Lidl,Lidl,45.738001,21.203139,,dup script,03.04.13,"http://maps.google.com/maps?q=Strada%Prahova%20/%20Lidl@45.738001,21.203139",
1207,3,2889,Ab_P-ta I.Maniu 3,Piata Iuliu Maniu (Gara),P-ta I. Maniu,P-ta Iuliu Maniu,45.739459,21.209783,,dup script,03.04.13,"http://maps.google.com/maps?q=Piata%20Iuliu%20Maniu@45.739459,21.209783",
1207,3,4501,AT_Reg.Carol_2,B-dul Iuliu Maniu / Autogara / Iosefin (Gara),Autogara,Autogara,45.744018,21.20658,,dup script,03.04.13,"http://maps.google.com/maps?q=B-dul%20Iuliu%20Maniu%20/%20Autogara%20/%20Iosefin@45.744018,21.20658",
1207,3,4465,AT_Pop de Basesti_2,Strada Pop de Basesti / Autogara SuperImposer / Pasarela (Gara),Pop de Basesti,Pop de Basesti,45.749352,21.202921,,dup script,03.04.13,"http://maps.google.com/maps?q=Strada%20Pop%20de%20Basesti%20/%20Autogara%20SuperImposer%20/%20Pasarela@45.749352,21.202921",
1207,3,2768,Tb_Gara  Nord 1,Gara de Nord (Gara),Gara,Gara,45.750421,21.20806,,dup script,03.04.13,"http://maps.google.com/maps?q=Gara%20de%20Nord@45.750421,21.20806",
,,,,,,,,,,,,,
LineID,LineName,StationID,RawStationName,FriendlyStationName,ShortStationName,JunctionName,Lat,Long,Invalid,Verified,Verification Date,Goodle Maps Link,
1066,13,3060,Tb_P-ta Marasti 1,Piata Marasti (Pod C.F),P-ta Marasti,P-ta Marasti,45.759237,21.227754,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20Marasti@45.759237,21.227754",
1066,13,3007,P-ta 700 3tb,Piata 700 (Pod C.F),P-ta 700,P-ta 700,45.75813,21.224073,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20700@45.75813,21.224073",
1066,13,3412,Circumvalat. 1tb,Calea Circumvalatiunii / Gheorghe Lazar (Pod C.F),Circumvalatiunii,Circumvalatiunii,45.760193,21.218197,,dup script,15.07.11,"http://maps.google.com/maps?q=Calea%20Circumvalatiunii%20/%20Gheorghe%20Lazar@45.760193,21.218197",
1066,13,3011,Timis 1tb,Strada Timis (Pod C.F),Timis,,45.762134,21.21328,,dup script,15.07.11,"http://maps.google.com/maps?q=Strada%20Timis@45.762134,21.21328",
1066,13,3013,Bv. Cetatii 1tb,Calea Cetatii / Gheorghe Lazar (Pod C.F),Cetatii,Cetatii,45.763182,21.21028,,dup script,15.07.11,"http://maps.google.com/maps?q=Calea%20Cetatii%20/%20Gheorghe%20Lazar@45.763182,21.21028",
1066,13,3015,P-ta A.Iancu 1tb,Piata Avram Iancu (Pod C.F),P-ta Avram Iancu,,45.764503,21.205448,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20Avram%20Iancu@45.764503,21.205448",
1066,13,3017,Vuk Karadjic 1tb,Strada Vuc Karadjic (Pod C.F),Vuc Karadjic,,45.765227,21.202757,,dup script,15.07.11,"http://maps.google.com/maps?q=Strada%20Vuc%20Karadjic@45.765227,21.202757",
1066,13,3019,G.Alexandrescu 1tb,Strada G. Alexandrescu (Pod C.F),G. Alexandrescu,G. Alexandrescu,45.766698,21.195229,,dup script,15.07.11,"http://maps.google.com/maps?q=Strada%20G.%20Alexandrescu@45.766698,21.195229",
1066,13,3021,P-ta de Gros 1tb,Piata de Gros (Pod C.F),P-ta de Gros,,45.765984,21.191824,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20de%20Gros@45.765984,21.191824",
1066,13,5200,Pasaj C.F.,Pasaj CFR (Pod C.F),Pasaj C.F,,45.763413,21.180217,,dup script,15.07.11,"http://maps.google.com/maps?q=Pasaj%20CFR@45.763413,21.180217",
1066,13,5200,Pasaj C.F.,Pasaj CFR (Marasti),Pasaj C.F,,45.763413,21.180217,,dup script,15.07.11,"http://maps.google.com/maps?q=Pasaj%20CFR@45.763413,21.180217",
1066,13,3022,P-ta de Gros 2tb,Piata de Gros (Marasti),P-ta de Gros,,45.765922,21.191926,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20de%20Gros@45.765922,21.191926",
1066,13,3020,G.Alexandrescu 2tb,Strada  G. Alexandrescu (Marasti),G. Alexandrescu,G. Alexandrescu,45.766588,21.195093,,dup script,15.07.11,"http://maps.google.com/maps?q=Strada%20%20G.%20Alexandrescu@45.766588,21.195093",
1066,13,3018,Vuk Karadjic 2tb,Strada Vuc Karadjic (Marasti),Vuc Karadjic,,45.76516,21.202381,,dup script,15.07.11,"http://maps.google.com/maps?q=Strada%20Vuc%20Karadjic@45.76516,21.202381",
1066,13,3016,P-ta A.Iancu 2tb,Piata Avram Iancu (Marasti),P-ta Avram Iancu,,45.764284,21.205791,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20Avram%20Iancu@45.764284,21.205791",
1066,13,3014,Bv. Cetatii 2tb,Calea Cetatii / Gheorghe Lazar (Marasti),Cetatii,Cetatii,45.762792,21.211147,,dup script,15.07.11,"http://maps.google.com/maps?q=Calea%20Cetatii%20/%20Gheorghe%20Lazar@45.762792,21.211147",
1066,13,3012,Timis 2tb,Strada Timis (Marasti),Timis,,45.761746,21.21392,,dup script,15.07.11,"http://maps.google.com/maps?q=Strada%20Timis@45.761746,21.21392",
1066,13,3413,Circumvalat.2tb,Cl. Circumvalatiunii / Ghe. Lazar (Marasti),Circumvalatiunii,Circumvalatiunii,45.759557,21.219288,,dup script,15.07.11,"http://maps.google.com/maps?q=Cl.%20Circumvalatiunii%20/%20Ghe.%20Lazar@45.759557,21.219288",
1066,13,3008,P-ta 700 4tb,Piata 700 (Marasti),P-ta 700,P-ta 700,45.757911,21.22442,,dup script,15.07.11,"http://maps.google.com/maps?q=Piata%20700@45.757911,21.22442",
